player_name,cricsheet_id,cricinfo_id,unique_name,match_method,resolved,balls_bowled,is_bowler,wikidata_item,enwiki_title,enwiki_rev_id,enwiki_rev_timestamp,batting_style,bowling_style,playing_role,infobox_template,player_name_norm,cricsheet_id_norm
MC Bascombe,f467d746,252893.0,MC Bascombe,unique_name,True,0,False,http://www.wikidata.org/entity/Q21872422,Miles Bascombe,990499337.0,2020-11-24T20:44:42Z,Right-handed,,,Infobox cricketer,mc bascombe,f467d746
Anser Mehmood,e871b2f0,1284224.0,Anser Mehmood,unique_name,True,0,False,,,,,,,,,anser mehmood,e871b2f0
Amir Khan,a7bc0f3d,1021021.0,Amir Khan,unique_name,True,0,False,,,,,,,,,amir khan,a7bc0f3d
G Caisley,0f06d3cd,893351.0,G Caisley,unique_name,True,0,False,,,,,,,,,g caisley,0f06d3cd
S Bogdos,268ec1d6,469224.0,S Bogdos,unique_name,True,0,False,,,,,,,,,s bogdos,268ec1d6
MD Byrne,153aaa6f,1493435.0,MD Byrne,unique_name,True,0,False,,,,,,,,,md byrne,153aaa6f
D Simpson,5d36377e,1333969.0,D Simpson,unique_name,True,0,False,,,,,,,,,d simpson,5d36377e
A Otwani,6727fb4d,473393.0,A Otwani,unique_name,True,0,False,http://www.wikidata.org/entity/Q30026997,Arnold Otwani,1263919912.0,2024-12-19T11:33:32Z,,,,,a otwani,6727fb4d
Wahidullah Usmani,6d27e42d,1230635.0,Wahidullah Usmani,unique_name,True,0,False,,,,,,,,,wahidullah usmani,6d27e42d
S Ashwathnarayana,8f8d30be,1204129.0,S Ashwathnarayana,unique_name,True,0,False,,,,,,,,,s ashwathnarayana,8f8d30be
S Mba,400cf68e,1155531.0,S Mba,unique_name,True,0,False,,,,,,,,,s mba,400cf68e
Zeeshan Khan,3f9b1a96,1233046.0,Zeeshan Khan,unique_name,True,0,False,,,,,,,,,zeeshan khan,3f9b1a96
F Achelam,b6b3ee6e,1107652.0,F Achelam,unique_name,True,0,False,http://www.wikidata.org/entity/Q52315180,Fred Achelam,1263917499.0,2024-12-19T11:03:28Z,,,,,f achelam,b6b3ee6e
D Faletar,8c911414,1382805.0,D Faletar,unique_name,True,0,False,,,,,,,,,d faletar,8c911414
Bosco Tuyizere,3c370b92,1151265.0,Bosco Tuyizere,unique_name,True,0,False,,,,,,,,,bosco tuyizere,3c370b92
Tenzin Wangchuk jnr,286fab38,1093863.0,Tenzin Wangchuk jnr,unique_name,True,0,False,,,,,,,,,tenzin wangchuk jnr,286fab38
